,twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
443,@NYtimes,44,Fri May 22 10:40:03 +0000 2020,-0.5994,0.224,0.0,0.776,"Asian markets overall fell on Friday, with Hong Kong’s drop outpacing others, on coronavirus worries and the prospe… https://t.co/pcuE6RvsSi"
444,@NYtimes,45,Fri May 22 10:20:06 +0000 2020,0.4168,0.0,0.122,0.878,A U.K. police watchdog said it would not conduct a criminal inquiry into Boris Johnson over claims that as London's… https://t.co/e4sALrp17A
445,@NYtimes,46,Fri May 22 10:00:07 +0000 2020,-0.1027,0.21,0.194,0.595,Saudi officials trying to pressure a former top intelligence official to return to Saudi Arabia have arrested sever… https://t.co/1LJmfzDzHz
446,@NYtimes,47,Fri May 22 09:40:04 +0000 2020,0.7251,0.0,0.242,0.758,"The Chinese government unveiled a plan to take a stronger, more direct hand in Hong Kong’s affairs. For many pro-de… https://t.co/TrTcLKZvDB"
447,@NYtimes,48,Fri May 22 09:20:05 +0000 2020,0.3818,0.0,0.12,0.88,"In Opinion

Sonia Faleiro writes: The British government has sent out a clear message: ""The work of ethnic minoriti… https://t.co/lXZfgF3iq8"
448,@NYtimes,49,Fri May 22 09:00:18 +0000 2020,0.7351,0.0,0.237,0.763,"Nita Pippins moved to New York to care for her dyings on. Instead of returning home, she dedicated herself to AIDS… https://t.co/rG0pn5Kvvy"
449,@NYtimes,50,Fri May 22 08:40:05 +0000 2020,0.7579,0.0,0.333,0.667,"On Thursday, China proposed security laws that could effectively subvert Hong Kong’s remaining freedoms and bring i… https://t.co/m8wabQlJZr"
450,@NYtimes,51,Fri May 22 08:20:07 +0000 2020,-0.5823,0.178,0.0,0.822,"“You can make money no matter if the price rises or falls,” said an ad for Bank of China's crude oil investment pro… https://t.co/i8VBLCPXxU"
451,@NYtimes,52,Fri May 22 08:10:01 +0000 2020,0.0,0.0,0.0,1.0,"RT @salmanmasood: In parts of India and Pakistan, conditions during the hotter months could make the virus less than half as likely to infe…"
452,@NYtimes,53,Fri May 22 08:00:06 +0000 2020,0.7184,0.0,0.318,0.682,"Earlier this month, Samy Kamkar shared his latest creation on Twitter: chocolate that shimmers like a rainbow. https://t.co/zPWRo8OKS4"
453,@NYtimes,54,Fri May 22 07:50:03 +0000 2020,0.0,0.0,0.0,1.0,"Gui Khury owned a skateboard before he was even born. This month, the 11-year-old became the first skateboarder to… https://t.co/DjQrCKsKZj"
454,@NYtimes,55,Fri May 22 07:40:03 +0000 2020,0.0,0.0,0.0,1.0,"RT @BellaKwai: Beer with Bella is back! Our latest guest is former prime minister Malcolm Turnbull who spills some tea on Trump, the ""terro…"
455,@NYtimes,56,Fri May 22 07:30:07 +0000 2020,0.0,0.0,0.0,1.0,RT @motokorich: The Tokyo Games will happen in July and August of 2021 or they will not happen at all. With @mattfutterman https://t.co/rY2…
456,@NYtimes,57,Fri May 22 07:00:06 +0000 2020,0.0,0.0,0.0,1.0,Europe morning briefing: Here's what you need to know to start your day https://t.co/5fzvKA2r3Z
457,@NYtimes,58,Fri May 22 06:54:04 +0000 2020,0.2732,0.0,0.104,0.896,The British government agreed to scrap a policy that requires staff from overseas in the country’s National Health… https://t.co/Oa3ubhpd4G
458,@NYtimes,59,Fri May 22 06:40:05 +0000 2020,0.1154,0.0,0.068,0.932,Facebook said on Thursday that it would allow many employees to work from home permanently. But there’s a catch: Th… https://t.co/hmnkGiTbWk
459,@NYtimes,60,Fri May 22 06:20:01 +0000 2020,0.7783,0.0,0.264,0.736,"RT @BenWeiserNYT: ""The curfew has offered new moments of breathtaking beauty."" In Istanbul Under Lockdown by @carlottagall with photos by @…"
460,@NYtimes,61,Fri May 22 06:00:09 +0000 2020,0.0,0.0,0.0,1.0,"Since early December and as recently as last week, TikTok stars hailing from all around the U.S. have snatched up h… https://t.co/3s9pQWOFib"
461,@NYtimes,62,Fri May 22 05:45:02 +0000 2020,-0.5423,0.137,0.0,0.863,RT @palafo: The Federal Bureau of Investigation said Thursday that it had opened an investigation into the fatal shooting of a black woman…
462,@NYtimes,63,Fri May 22 05:30:09 +0000 2020,0.0772,0.096,0.151,0.753,An organization working to prevent pandemics lost its federal grant to work in China. A group of 77 Nobel laureates… https://t.co/JKNd18OdaR
463,@NYtimes,64,Fri May 22 05:00:06 +0000 2020,0.0,0.0,0.0,1.0,Hong Kong stocks fell by more than 4% in early Friday trading after Chinese leaders announced their plans to tighte… https://t.co/o5X7gYFvvm
464,@NYtimes,65,Fri May 22 04:50:04 +0000 2020,0.34,0.0,0.098,0.902,"RT @stevenleemyers: ""Even as China acknowledged the cost of the pandemic, the government is determined to show it will not be politically c…"
465,@NYtimes,66,Fri May 22 04:24:34 +0000 2020,0.0,0.0,0.0,1.0,Read updates in Chinese: 新冠病毒疫情最新消息 https://t.co/TLsWMGjCYE
466,@NYtimes,67,Fri May 22 04:24:08 +0000 2020,0.0,0.0,0.0,1.0,"—President Trump, visiting a hard-hit U.S. state, declined to wear a mask in public
—The pandemic hovers over China… https://t.co/wzuvwrNK4V"
467,@NYtimes,68,Fri May 22 04:10:04 +0000 2020,-0.9493,0.511,0.0,0.489,A 32-year-old Long Island man was arrested and charged with murder on Thursday after the man fatally stabbed his fa… https://t.co/VXupb8X0Do
468,@NYtimes,69,Fri May 22 04:00:04 +0000 2020,0.4767,0.0,0.177,0.823,A string of victories by Turkish-backed forces in Libya have rolled back the gains of a would-be strongman whose al… https://t.co/owlNva6yjh
469,@NYtimes,70,Fri May 22 03:55:03 +0000 2020,-0.5574,0.223,0.0,0.777,"RT @HernandezJavier: New coronavirus outbreaks are raising alarm in China, prompting officials to impose Wuhan-style lockdowns. ""The govern…"
470,@NYtimes,71,Fri May 22 03:40:02 +0000 2020,-0.8176,0.263,0.0,0.737,"RT @llerer: NEW: Lawyers in California are reviewing criminal cases in which Tara Reade served as an expert witness on domestic violence, c…"
471,@NYtimes,72,Fri May 22 03:00:11 +0000 2020,-0.5267,0.152,0.0,0.848,"A day after threatening to withhold federal funding from Michigan, President Trump toured a Ford plant in the state… https://t.co/6Dbc13s15e"
472,@NYtimes,73,Fri May 22 02:20:07 +0000 2020,0.0258,0.075,0.08,0.845,China’s plans to impose sweeping new security powers over Hong Kong has U.S. senators calling for sanctions. But Pr… https://t.co/btHkAA0Zvo
473,@NYtimes,74,Fri May 22 02:18:52 +0000 2020,-0.4404,0.148,0.066,0.786,Defense lawyers in California are reviewing criminal cases in which Tara Reade served as an expert witness on domes… https://t.co/QylPahU1i3
474,@NYtimes,75,Fri May 22 02:10:04 +0000 2020,0.5267,0.0,0.206,0.794,RT @austinramzy: Bipartisan support is quickly growing in Congress for sanctions on Chinese officials and entities after Beijing announced…
475,@NYtimes,76,Fri May 22 02:00:04 +0000 2020,0.7935,0.0,0.243,0.757,"RT @tminsberg: 11-year-old Gui Khury landed a 1080. Twice. 

One of the best parts? Getting a text from @tonyhawk. 

Not bad for an afterno…"
476,@NYtimes,77,Fri May 22 01:40:08 +0000 2020,-0.1027,0.139,0.12,0.741,"China abandoned its growth target for this year, in an acknowledgement that the coronavirus outbreak is disrupting… https://t.co/bvMjWrEeTi"
